ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
691,0.006,5659,1998,10.0
692,8.8065,1957,2067,489.40410828590393
693,0.0115,4318,1989,13.41421353816986
694,0.0335,61,1980,24.242640614509583
695,0.072,5657,1984,45.65685415267944
696,0.015,1245,1978,14.828427076339722
697,102.5135,138,2189,1668.8986181020737
698,0.035,1246,1972,24.82842707633972
699,0.006,1243,1966,10.0
700,0.0675,5650,1969,38.72792184352875
701,0.0145,1236,1951,14.242640614509583
702,0.089,1245,1953,49.79898953437805
703,0.014,1246,1939,13.656854152679443
704,0.2675,1977,1935,72.04163014888763
705,5.759,661,1970,389.01933157444
706,5.9695,1536,1976,453.9482651948929
707,0.017,1244,1925,17.656854152679443
708,0.009,483,1914,12.0
709,29.575,422,2027,841.3523734807968
710,0.0635,4989,1906,35.899494767189026
711,0.006,4315,1888,10.0
712,0.191,2005,1895,73.11269760131836
713,3.975,4441,1920,356.5929263830185
714,0.006,2056,1879,10.0
715,0.014,4315,1879,13.656854152679443
716,0.004,1,1876,8.0
717,0.1335,4459,1875,48.38477599620819
718,0.009,1315,1866,12.0
719,0.009,16,1866,12.0
720,0.0465,5,1870,41.55634891986847
721,0.01,1325,1861,14.0
722,0.014,13,1861,13.656854152679443
723,0.054,4,1857,42.14213538169861
